category,topic
A LITTLE TV,
JUDEAN HISTORY,
1940s LIT,
"THE WAY WE ""WOR""",
2015 MOVIES,
THREE OF A KIND,
"ONLY ""O"" AS A VOWEL",
KNOT THE TIE,
NICE SIDE WHISKERS!,
VIRAL VIDEO,
STUCK IN THE MIDDLE WORD WITH YOU,
FIGHTER PLANES,
POET-TREE,
"YES, THE THAI",
A MIXED BAG,
RANDOMNESS IN SCIENCE,
LITERARY MISCELLANIES,
HODGE-POD,
"""E-T-C""",
CENTRAL AMERICAN CAPITALS,
"THE HOLY ""C""",
CAT & DOG BREEDS,
RADIO & TV GAME SHOWS,
"THE HILL, HULL & HALL OF FAME",
FAMOUS HOTELS,
"HISTORY OF THE WORLD, PART II",
CLICHES MADE FANCY,
FEMALE ATHLETES,
PASTA GLOSSARY,
HORNS YOU CAN'T PLAY,
NO-FLY ZONE,
FLAGS OF OUR FATHERS,
ELEMENTS OF SONG,
6 CHARACTERS IN SEARCH OF THEIR NOVELS,
THE WONDERFUL WORLD OF SYDNEY,
"ALL YOU CAN ""EAT""",
RANCHING AS IT WAS,
NORTH AMERICAN GEOGRAPHY,
SPEAKER'S CORNER,
COUNTRY MUSIC,
IN MY DESK DRAWER,
WRITERS BY INITIALS,
"""KNOCK"", KNOCK",
WHO'S THERE?,
ALMOST RHYMES WITH ORANGE,
RUSSIAN CITIES,
17th CENTURY PEOPLE,
TV SHOWS BASED ON MOVIES,
"ODDS & ""N""s",
CONTEMPORARY WOMEN AUTHORS,
A PASSION FOR FASHION,
TV WEAPON OF CHOICE,
U.S. GOVERNORS,
MUSIC RECORDING,
"""IN"" THE PHRASE",
"FIRST & LAST NAME, PLEASE",
FRENCH FILM FEMMES,
PORTMANTEAU WORDS,
THEATRICAL QUOTES,
IN THE FRAYS,
AMERICAN ICONS,
THE STATE'S RICHEST MAN,
BRIT NAMES FOR VEGGIES,
EXTINCT CREATURES,
OLYMPIC ATHLETES,
AMERICA THE HISTORICAL,
FIRST NAMES IN THE DICTIONARY,
SHAKESPEARE'S FIRST LINES,
TAKE ME TO THE COMBAT PILOT,
"PICK A ""CARD""",
A MIDNIGHT MOVIE,
CAPITAL CITY OVERLAPS,
18th CENTURY BRITISH SCIENTISTS,
CHILDREN'S BOOK TITLES,
OVER-THE-COUNTER MEDICATIONS,
I GOT A 5-LETTER WORD FOR YA,
YOUR FACE IS ON THE MONEY,
FATHERLY TV,
IF I HAD A HAMMER,
BEASTS IN THE BIBLE,
FROM FILM TO STAGE,
"""Q"" NOT FOLLOWED BY U",
1816,
A QUICK DIP IN THE LAKE,
19th CENTURY BRITS,
I'M INNOCENT,
DESCRIBING THE NOVEL,
THE DAVY O'BRIEN QUARTERBACK AWARD,
CHICKEN SOUP,
FOR THE SOLE,
RALPH WALDO EMERSON,
ASIAN FOOD,
MY ROBOT PAL,
"MUSIC CITIES, USA",
A ROYAL BRITISH LOCKUP,
THE J-V SQUAD,
METAPHORICAL PHRASES,
1958,
"STARTS WITH ""R""",
PIES,
SHANGHAI MOVIES,
STEPHEN FOSTER,
NAME THE NOVEL,
PASHAS,
THE POLITICS OF TV,
MILITARY NICKNAMES,
YOU AUTO KNOW,
SLEUTHS & THEIR CREATORS,
SWEET AISLE OF MINE,
THUS SAYETH THE LORD,
ON THE MOVIE'S SOUNDTRACK,
SWEET ISLE OF MINE,
THE EMMY AWARDS,
THE GRAPHIC ARTS,
THE HEART,
FLAGS,
ITALIAN 101,
MEMOIRS,
ROCK TRIVIA,
KINGS & QUEENS,
IT'S ABOUT TIME,
SHOES A TO Z,
NAME THAT SPORT,
ON THE PERIODIC TABLE,
THE HOT SEAT,
FURNITURE METAPHORS,
DETENTION IN LITERATURE,
PRODUCE THE PRODUCE,
AFRICANA,
SONG LYRICS,
BRITISH PRIME MINISTERS,
"JUST ""D.M."" ME",
WORK WITH KIDS,
THE LONG HOURS,
THE DEDICATION,
"GIVING EVERY ""THING""",
A LIFETIME OF SERVICE,
NOW WHAT'S FOR LUNCH,
THE HAITI FILE,
OPERATIC SETTINGS,
WRITERS ON FILM,
IN THE D.C. AREA,
TOYS,
SCRAMBLED EGG-LAYERS,
"LET'S TALK ABOUT ""X""",
"WE LOVE YOU, MOM!",
GRAVE MATTERS,
ROMAN AROUND,
"""O"" 2""B""",
JUNG,
TV TITLE CHARACTERS,
SCHOOL SUBJECTS IN GERMAN,
A VICE PRESIDENT'S SURNAME,
EYES ON THE PRIZE,
A VISIT TO NEW YORK STATE,
5 COMMANDMENTS,
VITAMINS & SUPPLEMENTS,
"THE COMMON ""CORE""",
NON-ROCKET SCIENTISTS,
TV EATERIES,
THERE ARE STRINGS ATTACHED,
"WE APPRECIATE ""U""!",
FINISH THE LITERARY LINE,
"LIGHTS, CAMERA, ACTION MOVIE!",
WHERE IN THE WORLD?,
PRONUNCIATION,
QUEENS,
MY FAVORITE BURRO,
THE 1720s,
ROOMS,
BOTTOM DWELLERS,
TOP MODELS,
TRAVEL U.S.A.,
PICASSO,
MANY RIVERS TO CROSS,
DIVISION I SPORTS TEAMS,
STOPPED BREATHING IN THE 1800s,
A++,
DRINKS IN THE FRIDGE,
DODGE PODGE,
TALK ABOUT THE WEATHER,
THE VIETNAM WAR ERA,
LATIN CLASS,
LITERARY GROUPS,
WHY DO I KNOW THAT NAME?,
SHAKESPEAREAN SYNOPSES,
THEME SONGS,
"""PO""POURRI",
FIRES,
GERMAN COMPOSERS,
RHETORIC,
"""IN"" PLACES",
AMONG THE 10 LARGEST ISLANDS,
SHAKESPEAREAN JEOPARDY!,
TELL ME SOMETHING I DON'T KNOW,
"HEY, ""MAC""",
COLORFUL OSCAR WINNING-FILMS,
AN ENVIRONMENTAL CATEGORY,
BEEN HER,
PUT IT THERE!,
AFRICAN GEOGRAPHY,
AN ORANGE FOR TEACHER,
TV SHOWS BY EPISODE TITLE,
THE QUOTABLE BEN FRANKLIN,
EERIE,
SUPERIOR,
OTHER GREAT LAKES,
COMMUNICATION,
STUDY HALL,
20th CENTURY PRESIDENTIAL CANDIDATES,
1978,
MUSICAL METALS,
CHILDREN'S LITERATURE,
"""G"" WHIZ!",
ANCIENT WORLDS,
SHAKESPEAREAN LAST LINES,
1795,
MAGIC & MAGICIANS,
NAMES,
WHAT A PRINCE!,
OSCAR-WINNING ACTORS,
ROMANTICS,
TV's GREATEST HITS,
WORDS OF ENCOURAGMENT,
MOUNTAIN / MAN,
HAZARDOUS,
"""P"" IN FASHION",
ROME ANTICS,
PROLOGUES,
"""YOUNG"" MEN & WOMEN",
MY FIRST CAR,
WHAT IS IT?,
NFL TEAM NAMES,
THE EAGLES,
HOTEL CALIFORNIA,
"TAKE IT ""EZ""",
I'M SAXON & I KNOW IT,
PHYSICS TEST,
5-SYLLABLE WORDS,
RELIGIOUS TITLES,
"RIGHT INITIALS, WRONG VOICE",
BODY PARTS IN SONG,
"""FRONT"" & ""BACK""",
DO YOU HAVE ANY NINES?,
GO HAMILTON FISH!,
NOTED AFRICAN AMERICANS,
PARTS OF THE MOUNTAIN,
U.S. AIRPORT CODES,
ALSO A CHURCH WORD,
DRAMA,
AND THE OBSCURE OSCAR GOES TO...,
WORLD FAUNA,
TV MAPS,
DRINKING VESSELS,
ON THE INTERWEBS,
IN HIS STATE OF THE UNION ADDRESS,
OF COURSE,
CRIME WAVE,
TAKE A LOOK AT THE MONITOR,
VIRGINIA IS FOR WRITERS,
PLOTS OF 1970s NO. 1 SONGS,
ANTHROPOLOGY,
IN THE CANADIAN PROVINCE,
RHYME WAVE,
20th CENTURY NOTABLES,
STATE CAPITAL NICKNAMES,
TAROT CARDS,
POLITICAL BOOKS,
MISSING MOVIE NAMES,
LIKE A G-6,
KANSAS CITY BARBEQUE,
THE MAN WHO WOULD BE KING,
3 VOWELS IN A ROW,
TV IN ALL FORMS,
C.T.,
SCAN,
IT'S NOT A TUMOR,
HALL OF FAME CATCHERS,
A STATE OF WAR,
"""BEAUTY""",
THE BEAST,
FROM NOAH WEBSTER'S 1828 DICTIONARY,
BAYS & GULFS,
THEATRE TO THEATER,
AUTHORS' SHORT STORY COLLECTIONS,
THE PHONE,
BEST MUSICAL ACTOR TONY WINNERS,
HISTORY IN ART,
SURROUNDED BY STATISTICS,
"DOUBLE ""R""",
DIRTY BIRDS,
HOW JUVENILE!,
GREAT SCOTS,
BLENDED WORDS,
"""T"" MOBILE",
ROBOT CHECK-IN,
"""HORSE""PLAY",
FAMOUS GEMINIS,
ANIMAL GROUPS,
MOVIE MISSES,
"CALL ME ""MR.""",
INDUSTRIAL DESIGN,
PULITZER PRIZES,
OPERETTAS,
HISTORY REPEATS,
THE ENTERTAINER,
PATENTS,
WHERE'S THAT STATE SCHOOL?,
"""EFF"" FOR EFFORT",
HEROES,
MODERN LOVE,
"REBEL, REBEL",
LET'S GDANSK,
DAVID BOWIE,
FAMOUS CANADIANS,
"STARTS WITH ""K""",
BOOKS ON AUDIOTAPE,
POT LUCK,
OLD RADIO,
STORMS,
RED-LETTER DAYS,
OKLAHOMA,
HISTORIC QUOTATIONS,
JUST MISSED THE TITANIC,
THE CINEMA OF BRADLEY COOPER,
BEASTLY LIT,
"""GO"" AHEAD",
MAKE MY CAR,
ISTHMUS BE YOUR LUCKY DAY,
THE BILLBOARD ALL-TIME HOT 100,
WORLD PIECE,
IN THE ____ OF BATTLE,
TAKE ME OUT OF THE BALL GAME,
SCIENTIFIC & MEDICAL ABBREV.,
WORDS WITH FRIENDS,
THE DISASTER OF THE CENTURY,
FAMOUS ELEPHANTS,
MEMORY,
COUNTRIES WITH SHORT COASTLINES,
AS EASY AS C-D-E,
BIG SCREEN CHARACTER MASHUPS,
SEA LIFE,
SPANISH HISTORY,
PHILADELPHIA,
GAMES,
FOOD POTPOURRI,
THE 1880s,
TV PERSONALITIES,
NUTRITION,
CONSTITUTIONAL AMENDMENTS,
NOTORIOUS,
ITALIAN SCIENCE,
ART TERMS,
A MAJOR LEAGUER IN THE SONG,
ENGLISH USAGE,
MILAN,
OUT OF FASHION WEEK,
PREQUELS & SEQUELS,
EMMY TIME,
"DO YOUR ""OB""",
START UP YOUR CARLOS,
FIRST FAMILY PETS,
LITERARY NICKNAMES,
ADELE,
GET TOGETHER,
FOR DRINKS,
& APPS,
THRILLED TO THE MARROW,
FRENCH ARTS & CULTURE,
PRODUCE THE CELEBRITY NAME,
THE LIBRARY OF CONGRESS,
"WORD OF THE ""DAY""",
WHICH DOCUMENT CAME FIRST?,
MUSICAL SETTINGS,
I'D LIKE TO THANK,
THE ECONOMY OF MOTION PICTURE ARTS & SCIENCES,
OPRAH'S BOOK CLUB CLASSICS,
WAR OF THE WORDS,
FOOD & DRINK SCIENCE,
MARGARET ME,
SAINTS & THEIR CITIES,
'90s MUSIC,
FRENCH MONARCHS,
"OH, GOD!",
NAME THEIR SPORT,
20th CENTURY QUOTES,
DOING BUSINESS ONLINE,
WESTMINSTER,
"""A"" ""B""",
I JUST GOT OUT OF PRISON AFTER 30 YEARS,
HIDING PLACES,
HISTORY BOOKSHELF,
"'BYE, RACHEL! COUPLES",
"METAPHORS BE WITH ""U""",
MOVIE MISTAKES,
WHO WAS PRESIDENT WHEN I DIED?,
"""CON""CENTRATION",
THE UNITED STATES OF KENTUCKY,
SYMPHONY ORCHESTRAS,
RECENT POP CULTURE,
WORDS IN JEOPARDY,
DAYLIGHT SAVING TIME,
NICE LONG DANES,
BUSINESSES,
20th CENTURY WRITERS,
MGM MUSICALS,
1800,
U.S. OLYMPIC HALL OF FAME,
"FILE UNDER ""AE""",
EDUCATORS,
CANADIAN PRIME MINISTERS,
MY NAME IS SYMBOLIC,
3-LETTER WORDS WITH ONLY 2 VOWELS,
LITERARY GROUPS & MOVEMENTS,
HIT THE GYM,
GET INTO SHAPES,
DEATH IN VENICE,
BOTONY,
TRAVELING ALONG THE 40th PARALLEL N.,
TAXONOMIC FILM LIST,
NOVEL VOCABULARY,
"""L"" ON WHEELS",
AUBURNS,
"LEADING ""ROLL""S",
MIDDLE NAMES,
THOSE WHO STAND & WAIT,
STATES THAT BEGIN WITH CALIFORN,
IS THIS A HAT?,
CATCH THESE MEN,
A PETITE DEJEUNER,
"""S"" WORDS",
SNL CRACKS US UP,
SAY IT IN SWEDISH,
AMERICAN DRAMATISTS,
SIGNATURES,
LIT-POURRI,
BORN IN CONNECTICUT,
RED RHYME,
ROLES,
"HI, JULY!",
NO. 2 ON THE CHARTS,
KIND OF A GREY AREA,
ROADS SCHOLAR,
THAT'S B_S!,
"""IN"" CITIES",
DISNEY SONGS,
O. HENRY,
GEMS & JEWELRY,
POP LYRICS,
COUNTIES,
ACES,
EIGHTS,
PICTURES THE WORD,
HOW INVENTIVE!,
THE NOBEL PEACE PRIZE,
SIGNATURE SONGS,
OF BOOKS & BOATS,
HAMBURGER JOINTS,
GETTING READY FOR THE OLYMPICS,
MILITARY MEN?,
EELS,
"""BEN"" THERE",
DONE THAT,
POLITICAL WORDS,
MUSIC FROM THE 2000s,
"DOUBLE U, DOUBLE V OR DOUBLE W",
MAN-AGRAMS,
4-LETTER ENTERTAINMENT,
QUICK AS THE DICKENS,
PRES-POURRI,
A MOUSE IN THE HOUSE,
SOME MEAN RHYMES,
INTERNATIONAL SPORTS,
"""HOUSE""s",
PARIS,
ADS & COMMERCIALS,
TV SISTERS,
CONTESTS,
"""C"" HERE",
DEMOCRATS,
SPORTS LEGENDS,
SALUTES & SALUTATIONS,
THE QUEEN'S ENGLISH,
SHOW BIZ BOOKS,
SONG STANDARDS,
"PLACES, EVERYONE",
SITCOM LAST NAMES,
TEQUILA,
"""LOG"" JAM",
BEFORE THEY WERE FIRST LADIES,
PETER THE NOT GREAT,
WHO'S YOUR DADDY?,
POLYSYLLABIC,
TEASING,
FOO FIGHTERS,
LEARN TO FLY,
COLLEGE NEWSPAPERS,
16th CENTURY AMERICA,
FAMOUS GINGERS,
SONG WORDS,
MORE FUNNY THAN SCARY,
BIBLICAL EQUINES,
WHERE'S WALD?,
"""O""",
CIVIL WAR HISTORY,
BOOKS FOR THE YOUNG,
HERE COMES THE NEIGHBORHOOD,
CRIME & CRIMINALS,
DESCRIBING THE TV SHOW,
HYBRID & ELECTRIC CARS,
OUT OF AFRICA,
THE FIRST NAME GAME,
BOOK TO MOVIE,
HOOSIER HISTORY,
ADVERBS THAT DON'T END IN -LY,
INTO AFRICA,
THE ROCK AND ROLL HALL OF FAME,
FRUIT STAND,
5-LETTER MUSICAL INSTRUMENTS,
"ENGLAND, SCOTLAND OR WALES",
WAYS OF BEING,
DANIEL BOONE WAS A MAN,
MONEY MATTERS,
COMEDY TONIGHT,
LITERARY SISTERS,
BEASTLY APPENDAGES,
"KICK OUT THE ""JAM""s",
20th CENTURY ENGLISH NOBILITY,
THE NEW TESTAMENT,
FAMOUS ANIMALS,
SEE THE U.S.A.,
"""M"" TV",
THE 1995 GRAMMYS,
"""B"" CITIES",
BOB DOLE,
AROUND THE U.S.A.,
WARS & REVOLUTIONS,
HOLLYWOOD HODGEPODGE,
STATESMEN,
LEGISLATURES,
COMEDIES,
ELTON JOHN SONGS,
PAINTERS,
TRAGEDIES,
SOUTH OF THE BORDER,
ISAAC NEWTON,
EUROPEAN DRAMA,
WORLD ALMANAC 1893,
FOODS OF THE WORLD,
CELEBRITY ALUMNI,
PASTIMES,
BRITISH MONARCHS,
HISPANIC HOLLYWOOD,
GIFTS,
"""M"" ON THE MAP",
MICHIGAN CITIES,
ENTERTAINING REDHEADS,
SCANDINAVIA,
LUCK OF THE DRAW,
IN EXPLICABLE,
I'M HERE TO SEE HERBERT HOOVER,
A SONG IN THAT MOVIE,
TAKE ME TO COURT,
"CATCH SOME DOUBLE ""Z""s",
DANTE'S INFERNO,
1999,
LITTLE RED CORVETTE,
SIGN O' THE TIMES,
BAT DANCE,
"""U"" GOT THE LOOK",
MY NAME IS PRINCE,
SOUNDS LIKE A COLOR,
VEGAS-SET TV SHOWS,
THEATRE TITLE DUOS,
THERE IT IS,
FILM ADAPTATIONS,
'80s POP LYRICS IN LATIN,
STORIES OF THE WAR,
"""POLY"" WANT",
A CRACKER,
GET RICHARD QUICK,
CAPITAL RIVERS,
2016 MINUTES OF FAME,
FORBIDDING WORDS,
RECENT BESTSELLING BOOKS,
RELATIVE POP CULTURE,
COLLEGE DISCIPLINES,
ABBOTT & COSTELLO,
WOMEN'S FASHIONS,
"""NET""s",
OPERATIC DEMISES,
SPORTS WEIGHTS & MEASURES,
THE INSECT WORLD,
THE 1750s,
NEW YEAR'S EVE BABIES,
I LOVE LUCY,
LIECHTENSTEIN,
COLLEGE FOOTBALL STADIUM NICKNAMES,
AMERICA SINCE 1900,
YE OLDE JOB FAIRE,
A REAL BUSY BODY,
THAT'S T-B-D,
ROY LICHTENSTEIN,
SPIDERS,
SAY IT IN LATIN,
CITY BOOKS,
WHO'S THE BOSS?,
"SALUTE THE RED, WHITE & BLUE",
THEATER TALK,
"HAVE AN ""EF""ECT",
KEEP IT 100,
WHAT A TV CHARACTER!,
IT'S THE CATALINA WINE MIXER,
I SEE WHAT YOU DID THERE,
BEST PICTURE OSCAR WINNERS BY SETTING,
RHYMES WITH A STATE,
LAZARUS,
RISING,
IN THE NOVEL,
NO DISCRIMINATION,
"""RACE""",
COLOR,
JEN-DER,
NATIONAL ORIGIN,
BESSEMER MUCHO,
BUSINESSPEOPLE,
AFRICAN LAKES,
LITERARY FACTS,
MUSIC FOR THE DENTIST'S CHAIR,
TV SITCOMS,
MUSICAL QUOTES,
HISTORIC PEOPLE,
"""A"" ON THE MAP",
SEAFARERS,
WOMEN'S LANDMARKS,
FACT,
NAME THE CAPITAL,
THRILLERS & MYSTERIES,
SOUNDS LIKE A FLOWER,
JUSTIN TIMBERLAKE,
PEOPLE OF THE BIBLICAL BOOK,
DEWEY,
"NORTH CAROLINA, HISTORICALLY",
"WHATSAMATTA ""U""?",
FROM SCREEN TO STAGE,
WORDS IN THE NEWS 2016,
NASCAR FROM THE DRIVER'S SEAT,
GEOGRAPHIC NICKNAMES,
ADVERTISING,
THAT'S AWFUL GRIMM,
YOU'RE THE TOP,
"E BEFORE I, BUT NO C DO I SPY",
MISS-ING YOU,
PULITZER PRIZE WINNERS,
CAN I HAVE A WORD?,
MTV MOVIE AWARDS: BEST KISS WINNERS,
EUROPEAN COUNTRIES,
MILITARY MEMORIES,
"""ARCH"" MADNESS",
I WAS BATMAN (BUT NOT IN THIS MOVIE),
THE KIDS ARE OFF TO COLLEGE,
EMPTY NEST,
THE QUOTABLE BROWNINGS,
NUMERIC TERMS,
JUNIOR LEAGUE,
MUSICAL ACTS,
"""C""ITIES",
MARINE LIFE,
TV GUIDES,
WOMEN OF NOTE,
PEACE,
OF CAKE,
1866,
RENEWABLE ENERGY,
THE PLAYWRIGHT WRITES,
FRENCH CONNECTIONS,
"THE ""BLIND"" SPOT",
APOCALYPSE NOW,
BRITISH POP MUSIC,
MASTERS OF SOCKS,
INITIALITERATURE,
GARDEN PARTY,
FORE!,
LETTER WORDS,
WHO'S THE MRS.?,
HISTORY: HIRED & FIRED,
RHYME HOLE,
WHAT A BUNCH OF BOLOGNA,
LITERARY FROGS & TOADS,
"""B""RANDS",
WE LOVE '80s MUSIC,
GUNS N' ROSES,
NEW ORDER,
YOUTH MOVEMENTS,
ANATOMICAL QUOTES,
FOX(X) NEWS,
TV SHOWS BASED ON BOOKS,
THE COUNTRY'S UNKNOWN SOLDIER...,
EW's 50 GREATEST MOVIE DIRECTORS,
APPETIZERS,
THEME PARKS,
ATTACKERS,
CANADIAN CAPITALS,
MATH,
THE NOBEL PRIZE,
"MONEY, MONEY, MONEY",
3 CONSONANTS IN A ROW,
THE CHRONICLES OF NARNIA,
DON'T YOU KNOW,
THERE'S A WAR ON,
WE'RE GOING TO THE MOVIES,
WASHINGTON JARGON,
NOTABLE TEENS,
X GAMES,
NAME THE DISNEY MOVIE,
IT HAPPENED IN THE 20th CENTURY,
ADMIRABLE ADJECTIVES,
AMERICAN SYMBOLS,
GEOGRAPHIC CENTERS,
GOOEY CENTERS,
WHEN IT WAS NEW,
BORN IN THE '90s,
HAVE FAITH,
"THAT'S MESSED UP, SHAKESPEARE!",
"ENDS IN ""FF""",
CHECKING OUT ALL THE ANGLES,
ENTERTAINING ANIMALS,
NEVER BORED OF BOARD GAMES,
"STARTS & ENDS WITH ""E""",
MOTOR VEHICLES,
WHICH CONTINENT?,
A STUDENT OF FILM,
LOOKING FOR ALASKA,
PAPER TOWNS,
THE FAULT,
IN OUR STARS,
FAMOUS FIRST NAMES,
SCHOOLING YOU,
IN A GROUP,
WHO MAKES IT?,
LET'S TRAVEL,
REALITY TV SHOWS,
MIDDLE INITIALS,
"TAKING A NEW ""SAT""",
ON MY REEDING LIST,
I'M LIKE ON PAGE 1,
CAREER DAY,
LYRICS IN OTHER NATIONAL ANTHEMS,
SLANGUAGE,
NEW PRESIDENTIAL CODE NAMES?,
AGRICULTURE,
QUARTERBACKS,
STORMY WEATHER,
MTV,
ONLINE LEARNING,
"""A""LPHABETICAL VERBS",
QUARTER BACKS,
LET'S GO TO TOGO,
SCI-FI NOVELS,
WHO FIRST SANG THOSE WORDS?,
"""SHUT"" UP",
DANCE WITH ME,
SCREEN TEST,
STATE CAPITALS AKA,
IT'S A CRIME!,
THE QUEEN,
ENDANGERED ANIMALS AT THE SMITHSONIAN'S NATIONAL ZOO,
FICTIONAL CHARACTERS' LAST WORDS,
NEVER PRESIDENT,
TEXTING,
"IT'S ""LIT""",
THE NATIONAL PARK SYSTEM,
THE ANCIENT WORLD,
"""T"" UP SOME ENTERTAINMENT",
IT'S AMERICAN LIT,
FAMOUS BUILDINGS,
SLANG FOR LIQUOR,
THIRD IN THE MOVIE SERIES,
MAKE NO MYTHTAKE,
CEOs,
FEEL THE BURN,
A LOT FOR THE OFFICE DOOR,
GAME 7 PITCHERS,
THE MAP OF SCIENCE,
FRUITY WORDS & PHRASES,
"GRAND THEFT ""OO""",
FEEL THE ROBERT BURNS!,
ENTERTAINERS,
OPPOSITES,
SONGS ON TV,
UNUSUAL ATTRACTIONS,
DECEMBER HOLIDAYS,
GASOLINE,
"FILL ""E_R"" UP",
COUNTRIES' CURRENCIES,
TRUST THE SCIENCE,
WESTERN MOVIES,
THE ABOLITIONIST MOVEMENT,
NUMERIC WORDS & PHRASES,
WOMEN WHO WRITE,
WESTERN HEMISPHERE GEOGRAPHY,
THE PACHEBEL CANON IN D,
THE MOVIE/TV STAR,
BREAK-UPS,
ANIMAL COLLECTIVE NOUNS,
"""Y""s UP",
"THE TACO BELL CANON IN ""D""",
PERFECT!,
BROADWAY,
A RIVER RUNS TO IT,
MODERN MYTHOLOGY,
HOLIDAY ALBUMS,
CLASSIC MONOPOLY,
MOTTOES,
NAME THAT NOUN,
"YOU, SIR, ARE AN IMPASTO",
TOUGH 3-LETTER WORDS,
THE SPACE RACE,
GOING TO THE DOG'S BREED,
"WHO ""AR"" THEY?",
NAME'S THE SAME,
POWER AWARDS,
PLACES THAT BECAME WORDS,
BEASTLY STATE SYMBOLS,
COCKLES & MUSCLES,
NFL CHEERLEADING SQUADS,
IT'S OVER,
GLORY TO GOD,
IN THE HIGHEST,
PIECE,
GOOD WILL,
"TOWARD ""MEN""",
RECORDING HISTORY,
ON SIRIUSXM RADIO,
KNOWLEDGE ABOUT COLLEGE,
IT'S AN EMERGENCY!,
THEY SAID IT WITH FLOWERS,
TITLE CHARACTERS,
ITALIAN GEOGRAPHY,
"ANTE ""BELL"" UM",
BILLY IDOL,
MANET/MONET,
FICTIONAL PLACES,
THE STATE GOVERNED,
THE SOVIET UNION,
"""H. H.""",
MY EMMY-WINNING ROLE,
4 YOUR CONSIDERATION,
NATURE STUDY,
SAINTS BE PRAISED,
FILMS WITH SHORT TITLES,
CHILD REARING,
STATE CAPITAL EVENTS,
U.S. MILITARY MEN,
BIBLE BOOK 'EM,
I MARRIED A MUSICIAN,
CHEMICAL ELEMENT SYMBOLS,
JOB FAIR,
BEGINS & ENDS WITH THE SAME VOWEL,
MONTY VIDEO,
URUGUAY,
NAME THE 19th CENTURY WORK,
"""ROLL"" CALL",
ENTERTAINMENT UNDER THE SEA,
NEW WORDS IN THE 1600s,
WE PREDICT YOUR HOROSCOPE,
WHERE'S THAT OPERA HOUSE?,
ROLE CALL,
WOMEN POETS,
VARIETY PACK,
FORT-ITUDE,
PRO FOOTBALL,
ENGLISH LIT.,
THE MACCABEES,
SOMETHING TO READ,
SCRAMBLED KEGS,
SHADES OF YELLOW,
COLLEGE FOOTBALL HISTORY,
PRE-AMBLE,
A TRIPLE FEATURE,
ODD COMBINED RESPONSES,
4-LETTER EDIBLES,
CLASSIC DISNEY TITLE CHARACTERS,
IN THE FOOTSTEPS OF HISTORY,
THE BIG 3-0,
THIS LAND IS MY LAND,
SPORTS NICKNAMES,
CERAMICS,
Y_O_Y,
PULITZER PRIZE JOURNALISM,
COUNTRY MUSIC ALBUMS,
ANIMALS IN FRENCH,
WRITING,
"""BOO""!",
GOOD FELLERS,
CAPE FEAR,
THE KING OF COMEDY,
HEAT,
CASINO,
DE NERO,
DUAL-USE TERMS,
LINES ON THE MAP,
FUNERALS,
BETWEEN THREE & TWO,
FREQUENT FLIERS,
M.D.s,
EMMY-WINNING WOMEN,
RAINFORESTS,
19th CENTURY LITERARY MARRIAGES,
"THIS, OR THAT",
OTHER MDs,
THE U.S.A.,
COUNTRIES' NEWSPAPERS,
MAN VS. BEAST,
PLAYING TRIBUTE,
SLAMILTON,
TV NICKNAMES,
"THE OED, FROM POISE TO QUELT",
MUNICIPAL LITERATURE,
ALPHANUMERICALLY YOURS,
MOVIE TIME,
LITERATURE FOR YOUNG PEOPLE,
"""FEE"", ""FI"", ""FO"", ""FUM""",
GLOBETROTTING,
KHAN MEN,
STATE SCHOOL ALUMNI,
"THE ""EL""EMENTS",
FLOWER POWER,
WON'T YOU TAKE ME TO FUNKYTOWN?,
STUDYING ABROAD,
SCI-FI BOOKS,
THE CLASSIC MARQUEE INGREDIENT,
"""FR""",
GOTTA CRAM,
TIME TO PULL AN ALL-NIGHTER,
ALL KINDS OF TV,
SIX FEET UNDER,
GET A JOB!,
BASKETS OF ADORABLES,
IN OLDEN TIMES,
MULTIPLE MEANINGS,
SEEING RED,
FACTS ON FEBRUARY,
SEMILITERATE BEFORE & AFTER,
"A ""B""-PLUS STUDENT",
REMEMBER 2016?,
SHAKESPEAREAN YARD SALE,
POLICE GLOSSARY,
SINGLE-NAMED SINGERS,
WHAT ARE YOU AFRAID OF?,
"""EV""ERYTHING",
EASTERN RELIGION & PHILOSOPHY,
WHAT A CHARACTER!,
BIG ISLANDS,
ACRONYMS & ABBREVIATIONS,
WHOSE LINE IS IT ANYWAY?,
U.S. POLITICAL PARTIES,
WHAT ARE THOSE?,
ATHLETES IN THE HEADLINES,
FREE SPEECH,
SPINNING A WEBSITE,
FANTASTIC BEASTS,
"& WHERE TO FIND ""EM""",
MADAM SECRETARY,
"1 VOWEL, 3 TIMES",
STATUES,
NEWS ON THE SCREEN,
SERIOUS HARDWARE,
MTV MOVIE AWARD FOR BEST VILLAIN,
GOVERNMENT AGENCIES,
COLLEGE MAJORS IN OTHER WORDS,
ROAMIN' THROUGH ROMANIA,
A YEAR ENDING IN 00,
GROUPS,
ALL IN A DAY'S WORK,
"SILENT ""K""",
MATH 4U,
NAMED FOR A PLACE,
"LET'S RAP, KIDS!",
PRESIDENT'S DAY,
TAKE A PEAK,
"PUTTING THE ""R"" IN ENTERTAINMENT",
THEY NAMED A SCHOOL FOR ME,
A LIQUID CATEGORY,
PROVERBIAL VERBS,
STATES BY COUNTIES,
HALO,
UNCHARTED,
NO MAN'S SKY,
"""FALL""/""OUT""",
THE ELDER SCROLLS,
ESSAY TEST,
WHAT'S THAT SONG?,
